ref;old_name;name;description;old_role;role;Q1;Q2;Q3;example_title;example_text
16;Improve accessibility of cultural heritage ;Improve accessibility of cultural heritage ;Implement solutions (infrastracture, facilities, technologies, etc.) that improve the accessibility of cultural heritage by a disadvantaged type of visitor (e.g. disabled visitors);Government;Government;type of improvement? ;"""";"""";Restoration Gravensteen Castle;Most historical buildings were built without any concern for people with physical disabilities, such as visitors with reduced mobility. Experts can be involved to design and implement changes to the physical infrastructures and facilities  (e.g., installation of lifting platforms) that would allow disadvantaged visitors to better enjoy their cultural experience.
17;Attract visitors during the low season;Attract visitors during the low season;Develop a tourism offer (e.g. attractions, events, etc.) able to attract tourists in a period of the year that is usually less popular among visitors;Entrepreneur;Entrepreneur;attractions/events? Which period is targeted for this offer?;"""";"""";"""365 Algarve"" low season tourism";"Organise an event with the active involvement of the local community, aiming to attract visitors during a period of the year that is normally considered ""low season"". The event can be based on a specific element of the local cultural heritage (e.g. a particular art, tradition, food, etc.) or can be more open (e.g., a music festival open to several musical styles) and can focus on locals as protagonists (e.g., local artists)."
18;Introduce 'heritage walks' provided by residents ;Introduce 'heritage walks' provided by residents ;Offer an interpretation of the cultural heritage of the region by introducing 'heritage walks' facilitated by locals, during which  personal histories and stories of the ordinary people are shared by citizens;Resident;Resident;is the topic or chosen heritage? Which citizens will be involved?;"""";"""";Hotel du Nord;Locals are often the ones safeguarding the knowledge required for an adequate interpretation of less popular cultural heritage. For various reasons (e.g., a different interpretation of the cultural heritage compared to the 'official' channels) residents might feel the desire or the need to organise paid or free 'heritage walks' and guide visitors towards an authentic understanding of local culture heritage.
19;Better connect stakeholders from the tourism and cultural sector;Connect people from tourism and cultural sectors;Provide a space (e.g. a platform, forum, event or project) where professionals from the tourism and culture sectors can connect, discuss and work together to improve their synergy ;Experts;Cultural heritage expert;space is provided? What type of synergy is encouraged?;"""";"""";Irish Walled Towns Network;Tourism professionals often have good skills in management, finance and marketing but lack skills in cultural heritage preservation. Professionals in the cultural sector are usually skilled at preservation but lack business management expertise. An organised platform with regular meetings to exchange ideas and expertise, and co-create ideas and products, can help the realisation of a common vision for cultural tourism.
20;Crowdsourcing and open innovation;Crowdsourcing and open innovation;Develop a crowdsourcing platform for archiving offline content, developing ideas for cultural activities, or gathering relevant information for the available heritage locations;Experts;Environmental Expert;type of online/offline space? What is the goal? Who is targeted?;"""";"""";Municipality of Amsterdam;
21;Smart crowd management ;Smart crowd management ;Use mobile networks, smart cameras or other sensors to provide real-time data about visitor flows based on movement and network connectivity and use this information for smart visitor routing at cultural heritage sites or destinations;Entrepreneurs;Environmental Expert;type of technology is used? Where is this used?;"""";"""";CrowdHeritage;In order to reduce overcrowding and queues, heritage sites and museums can develop and promote the use of an app which shows the level of crowdedness of different areas and actively guides visitors  towards less crowded spaces (e.g., through push notifications). Technical expertise and equipment are needed in order to develop the app and the sensors capable of detecting the level of crowdedness.
22;Preservation/reconstruction of destroyed heritage;Preservation of destroyed heritage;Fund the protection and reconstruction of cultural heritage in the event of natural disasters (earthquakes, floods, etc.);Government;Environmental Expert;way is this financed? Who contributes and when?;"""";"""";EU Solidarity Fund;Local and/or national governments providing funds to prevent the consequences of a natural disaster (e.g., funds to reduce the seismic vulnerability of historical buildings), or for the reconstruction after a natural disaster (e.g. funds to restore natural landscape destroyed by floods).
;Invest in multimodal mobility choices to support soft modes of transportation;Invest in multimodal mobility choices ;Invest in new mobility opportunities to maximize the use of shared and non-motorized transport (P+R spots, linked network of slow routes, rental bikes, etc.) ;Government;Environmental Expert;type of mobility solution?;"""";"""";Amazon of Europe Bike Trail Project;
;;;;;;;;;;
;;;;;;;;;;
